"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 33 ending August 20, 2022"	"2022/33"	13	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 34 ending August 27, 2022"	"2022/34"	19	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 35 ending September 03, 2022"	"2022/35"	23	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 36 ending September 10, 2022"	"2022/36"	18	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 37 ending September 17, 2022"	"2022/37"	15	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 38 ending September 24, 2022"	"2022/38"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 39 ending October 01, 2022"	"2022/39"	20	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 40 ending October 08, 2022"	"2022/40"	14	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 41 ending October 15, 2022"	"2022/41"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 42 ending October 22, 2022"	"2022/42"	10	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 43 ending October 29, 2022"	"2022/43"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 44 ending November 05, 2022"	"2022/44"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 45 ending November 12, 2022"	"2022/45"	24	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 46 ending November 19, 2022"	"2022/46"	12	Not Applicable	Not Applicable
