Residence State,Five-Year Age Groups,Five-Year Age Groups Code,MMWR Week Code,Deaths
Pennsylvania,45-49 years,45-49,2024/45,39
Pennsylvania,45-49 years,45-49,2024/46,42
Pennsylvania,45-49 years,45-49,2024/47,47
Pennsylvania,45-49 years,45-49,2024/48,18
Pennsylvania,45-49 years,45-49,2024/49,17
Pennsylvania,45-49 years,45-49,2024/50,17
Pennsylvania,50-54 years,50-54,2024/01,78
Pennsylvania,50-54 years,50-54,2024/02,75
Pennsylvania,50-54 years,50-54,2024/03,86
Pennsylvania,50-54 years,50-54,2024/04,92
Pennsylvania,50-54 years,50-54,2024/05,79
Pennsylvania,50-54 years,50-54,2024/06,60
Pennsylvania,50-54 years,50-54,2024/07,80
Pennsylvania,50-54 years,50-54,2024/08,55
Pennsylvania,50-54 years,50-54,2024/09,61
Pennsylvania,50-54 years,50-54,2024/10,71
Pennsylvania,50-54 years,50-54,2024/11,74
Pennsylvania,50-54 years,50-54,2024/12,66
Pennsylvania,50-54 years,50-54,2024/13,65
Pennsylvania,50-54 years,50-54,2024/14,55
Pennsylvania,50-54 years,50-54,2024/15,67
Pennsylvania,50-54 years,50-54,2024/16,67
Pennsylvania,50-54 years,50-54,2024/17,79
Pennsylvania,50-54 years,50-54,2024/18,65
Pennsylvania,50-54 years,50-54,2024/19,58
Pennsylvania,50-54 years,50-54,2024/20,65
Pennsylvania,50-54 years,50-54,2024/21,58
Pennsylvania,50-54 years,50-54,2024/22,67
Pennsylvania,50-54 years,50-54,2024/23,83
Pennsylvania,50-54 years,50-54,2024/24,67
Pennsylvania,50-54 years,50-54,2024/25,70
Pennsylvania,50-54 years,50-54,2024/26,59
Pennsylvania,50-54 years,50-54,2024/27,67
Pennsylvania,50-54 years,50-54,2024/28,83
Pennsylvania,50-54 years,50-54,2024/29,53
Pennsylvania,50-54 years,50-54,2024/30,55
Pennsylvania,50-54 years,50-54,2024/31,64
Pennsylvania,50-54 years,50-54,2024/32,61
Pennsylvania,50-54 years,50-54,2024/33,64
Pennsylvania,50-54 years,50-54,2024/34,61
Pennsylvania,50-54 years,50-54,2024/35,52
Pennsylvania,50-54 years,50-54,2024/36,63
Pennsylvania,50-54 years,50-54,2024/37,53
Pennsylvania,50-54 years,50-54,2024/38,60
Pennsylvania,50-54 years,50-54,2024/39,62
Pennsylvania,50-54 years,50-54,2024/40,68
Pennsylvania,50-54 years,50-54,2024/41,60
Pennsylvania,50-54 years,50-54,2024/42,61
Pennsylvania,50-54 years,50-54,2024/43,67
Pennsylvania,50-54 years,50-54,2024/44,61
Pennsylvania,50-54 years,50-54,2024/45,53
Pennsylvania,50-54 years,50-54,2024/46,64
Pennsylvania,50-54 years,50-54,2024/47,62
Pennsylvania,50-54 years,50-54,2024/48,55
Pennsylvania,50-54 years,50-54,2024/49,37
Pennsylvania,50-54 years,50-54,2024/50,37
Pennsylvania,55-59 years,55-59,2024/01,119
Pennsylvania,55-59 years,55-59,2024/02,112
Pennsylvania,55-59 years,55-59,2024/03,111
Pennsylvania,55-59 years,55-59,2024/04,109
Pennsylvania,55-59 years,55-59,2024/05,110
Pennsylvania,55-59 years,55-59,2024/06,113
Pennsylvania,55-59 years,55-59,2024/07,108
Pennsylvania,55-59 years,55-59,2024/08,99
Pennsylvania,55-59 years,55-59,2024/09,112
Pennsylvania,55-59 years,55-59,2024/10,98
Pennsylvania,55-59 years,55-59,2024/11,130
Pennsylvania,55-59 years,55-59,2024/12,113
Pennsylvania,55-59 years,55-59,2024/13,115
Pennsylvania,55-59 years,55-59,2024/14,102
Pennsylvania,55-59 years,55-59,2024/15,107
Pennsylvania,55-59 years,55-59,2024/16,90
Pennsylvania,55-59 years,55-59,2024/17,75
Pennsylvania,55-59 years,55-59,2024/18,101
Pennsylvania,55-59 years,55-59,2024/19,122
Pennsylvania,55-59 years,55-59,2024/20,111
Pennsylvania,55-59 years,55-59,2024/21,103
Pennsylvania,55-59 years,55-59,2024/22,94
Pennsylvania,55-59 years,55-59,2024/23,110
Pennsylvania,55-59 years,55-59,2024/24,102
Pennsylvania,55-59 years,55-59,2024/25,105
Pennsylvania,55-59 years,55-59,2024/26,130
Pennsylvania,55-59 years,55-59,2024/27,113
Pennsylvania,55-59 years,55-59,2024/28,84
Pennsylvania,55-59 years,55-59,2024/29,102
Pennsylvania,55-59 years,55-59,2024/30,87
Pennsylvania,55-59 years,55-59,2024/31,102
Pennsylvania,55-59 years,55-59,2024/32,107
Pennsylvania,55-59 years,55-59,2024/33,103
Pennsylvania,55-59 years,55-59,2024/34,89
Pennsylvania,55-59 years,55-59,2024/35,101
Pennsylvania,55-59 years,55-59,2024/36,91
Pennsylvania,55-59 years,55-59,2024/37,100
Pennsylvania,55-59 years,55-59,2024/38,107
Pennsylvania,55-59 years,55-59,2024/39,93
Pennsylvania,55-59 years,55-59,2024/40,95
Pennsylvania,55-59 years,55-59,2024/41,120
