MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2018 Week 12 ending March 24, 2018",2018/12,75-79 years,75-79,6234,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,80-84 years,80-84,6994,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,85-89 years,85-89,7832,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,90-94 years,90-94,6515,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,95-99 years,95-99,3007,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,100+ years,100+,627,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,< 1 year,1,401,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,1-4 years,1-4,74,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,5-9 years,5-9,46,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,10-14 years,10-14,60,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,15-19 years,15-19,188,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,20-24 years,20-24,339,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,25-29 years,25-29,478,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,30-34 years,30-34,581,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,35-39 years,35-39,710,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,40-44 years,40-44,813,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,45-49 years,45-49,1272,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,50-54 years,50-54,1887,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,55-59 years,55-59,3041,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,60-64 years ,60-64,4019,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,65-69 years,65-69,4837,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,70-74 years,70-74,5526,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,75-79 years,75-79,6134,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,80-84 years,80-84,6935,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,85-89 years,85-89,7656,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,90-94 years,90-94,6451,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,95-99 years,95-99,2909,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,100+ years,100+,558,Not Applicable,Not Applicable
"2018 Week 13 ending March 31, 2018",2018/13,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,< 1 year,1,413,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,1-4 years,1-4,47,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,5-9 years,5-9,45,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,10-14 years,10-14,62,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,15-19 years,15-19,185,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,20-24 years,20-24,358,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,25-29 years,25-29,568,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,30-34 years,30-34,603,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,35-39 years,35-39,708,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,40-44 years,40-44,811,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,45-49 years,45-49,1312,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,50-54 years,50-54,1942,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,55-59 years,55-59,3088,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,60-64 years ,60-64,4197,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,65-69 years,65-69,4958,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,70-74 years,70-74,5662,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,75-79 years,75-79,6251,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,80-84 years,80-84,6812,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,85-89 years,85-89,7526,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,90-94 years,90-94,6385,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,95-99 years,95-99,2772,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,100+ years,100+,584,Not Applicable,Not Applicable
"2018 Week 14 ending April 07, 2018",2018/14,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,< 1 year,1,399,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,1-4 years,1-4,51,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,5-9 years,5-9,46,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,10-14 years,10-14,56,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,15-19 years,15-19,195,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,20-24 years,20-24,393,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,25-29 years,25-29,498,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,30-34 years,30-34,558,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,35-39 years,35-39,713,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,40-44 years,40-44,856,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,45-49 years,45-49,1268,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,50-54 years,50-54,1927,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,55-59 years,55-59,3117,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,60-64 years ,60-64,4091,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,65-69 years,65-69,4850,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,70-74 years,70-74,5640,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,75-79 years,75-79,6189,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,80-84 years,80-84,7028,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,85-89 years,85-89,7641,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,90-94 years,90-94,6301,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,95-99 years,95-99,2810,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,100+ years,100+,599,Not Applicable,Not Applicable
"2018 Week 15 ending April 14, 2018",2018/15,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,< 1 year,1,436,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,1-4 years,1-4,85,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,5-9 years,5-9,41,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,10-14 years,10-14,58,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,15-19 years,15-19,176,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,20-24 years,20-24,360,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,25-29 years,25-29,540,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,30-34 years,30-34,546,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,35-39 years,35-39,679,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,40-44 years,40-44,795,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,45-49 years,45-49,1218,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,50-54 years,50-54,1869,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,55-59 years,55-59,3076,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,60-64 years ,60-64,4012,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,65-69 years,65-69,4827,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,70-74 years,70-74,5647,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,75-79 years,75-79,6051,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,80-84 years,80-84,6691,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,85-89 years,85-89,7341,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,90-94 years,90-94,6269,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,95-99 years,95-99,2719,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,100+ years,100+,601,Not Applicable,Not Applicable
"2018 Week 16 ending April 21, 2018",2018/16,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,< 1 year,1,396,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,1-4 years,1-4,67,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,5-9 years,5-9,47,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,10-14 years,10-14,72,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,15-19 years,15-19,182,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,20-24 years,20-24,363,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,25-29 years,25-29,518,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,30-34 years,30-34,565,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,35-39 years,35-39,710,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,40-44 years,40-44,757,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,45-49 years,45-49,1165,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,50-54 years,50-54,1823,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,55-59 years,55-59,2940,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,60-64 years ,60-64,3969,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,65-69 years,65-69,4759,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,70-74 years,70-74,5595,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,75-79 years,75-79,6119,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,80-84 years,80-84,6782,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,85-89 years,85-89,7500,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,90-94 years,90-94,6068,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,95-99 years,95-99,2755,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,100+ years,100+,571,Not Applicable,Not Applicable
"2018 Week 17 ending April 28, 2018",2018/17,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,< 1 year,1,403,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,1-4 years,1-4,86,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,5-9 years,5-9,35,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,10-14 years,10-14,52,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,15-19 years,15-19,199,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,20-24 years,20-24,434,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,25-29 years,25-29,536,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,30-34 years,30-34,660,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,35-39 years,35-39,653,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,40-44 years,40-44,796,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,45-49 years,45-49,1222,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,50-54 years,50-54,1894,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,55-59 years,55-59,3135,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,60-64 years ,60-64,4056,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,65-69 years,65-69,4886,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,70-74 years,70-74,5384,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,75-79 years,75-79,6017,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,80-84 years,80-84,6682,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,85-89 years,85-89,7279,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,90-94 years,90-94,6044,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,95-99 years,95-99,2714,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,100+ years,100+,570,Not Applicable,Not Applicable
"2018 Week 18 ending May 05, 2018",2018/18,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,< 1 year,1,444,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,1-4 years,1-4,92,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,5-9 years,5-9,51,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,10-14 years,10-14,57,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,15-19 years,15-19,231,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,20-24 years,20-24,403,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,25-29 years,25-29,548,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,30-34 years,30-34,661,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,35-39 years,35-39,702,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,40-44 years,40-44,848,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,45-49 years,45-49,1247,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,50-54 years,50-54,1894,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,55-59 years,55-59,2969,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,60-64 years ,60-64,3985,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,65-69 years,65-69,4640,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,70-74 years,70-74,5337,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,75-79 years,75-79,5925,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,80-84 years,80-84,6292,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,85-89 years,85-89,7055,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,90-94 years,90-94,5739,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,95-99 years,95-99,2445,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,100+ years,100+,538,Not Applicable,Not Applicable
"2018 Week 19 ending May 12, 2018",2018/19,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,< 1 year,1,385,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,1-4 years,1-4,73,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,5-9 years,5-9,50,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,10-14 years,10-14,54,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,15-19 years,15-19,218,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,20-24 years,20-24,391,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,25-29 years,25-29,504,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,30-34 years,30-34,556,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,35-39 years,35-39,689,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,40-44 years,40-44,762,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,45-49 years,45-49,1150,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,50-54 years,50-54,1814,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,55-59 years,55-59,2870,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,60-64 years ,60-64,3893,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,65-69 years,65-69,4518,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,70-74 years,70-74,5291,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,75-79 years,75-79,5768,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,80-84 years,80-84,6289,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,85-89 years,85-89,6827,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,90-94 years,90-94,5580,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,95-99 years,95-99,2429,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,100+ years,100+,507,Not Applicable,Not Applicable
"2018 Week 20 ending May 19, 2018",2018/20,Not Stated,NS,0,Not Applicable,Not Applicable
"2018 Week 21 ending May 26, 2018",2018/21,< 1 year,1,379,Not Applicable,Not Applicable
