MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2018 Week 10 ending March 10, 2018",2018/10,10-14 years,10-14,52,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,15-19 years,15-19,202,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,20-24 years,20-24,344,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,25-29 years,25-29,511,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,30-34 years,30-34,621,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,35-39 years,35-39,699,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,40-44 years,40-44,812,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,45-49 years,45-49,1296,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,50-54 years,50-54,2034,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,55-59 years,55-59,3201,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,60-64 years ,60-64,4336,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,65-69 years,65-69,5026,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,70-74 years,70-74,5861,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,75-79 years,75-79,6463,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,80-84 years,80-84,7087,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,85-89 years,85-89,7812,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,90-94 years,90-94,6634,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,95-99 years,95-99,2920,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,100+ years,100+,613,Not Applicable,Not Applicable
"2018 Week 10 ending March 10, 2018",2018/10,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,< 1 year,1,403,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,1-4 years,1-4,74,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,5-9 years,5-9,30,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,10-14 years,10-14,77,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,15-19 years,15-19,188,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,20-24 years,20-24,389,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,25-29 years,25-29,507,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,30-34 years,30-34,590,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,35-39 years,35-39,703,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,40-44 years,40-44,813,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,45-49 years,45-49,1257,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,50-54 years,50-54,1969,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,55-59 years,55-59,3185,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,60-64 years ,60-64,4210,Not Applicable,Not Applicable
