Strike ID,Date,Location,Province,Type of attack,Confirmed/possible US attack?,Air operation?,Drone strike,Minimum number of strikes,Maximum number of strikes,Minimum people killed,Maximum people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum people injured,Maximum people injured,Strike link,
YEM220,26/03/2016,Zinjibar,Abyan,"Airstrike, Possible US drone strike",Possible,1,1,1,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM220,
YEM221,28/03/2016,Mukalla,Hadramout,Airstrike,Possible,1,0,1,1,5,5,3,3,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM221,
YEM222,30/03/2016,Azzan,Shabwa,US drone strike,Confirmed,1,1,1,1,2,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM222,
YEM223,30/03/2016,Mukalla,Hadramout,Airstrike,Possible,1,0,3,3,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM223,
YEM224,03/04/16,Mukalla,Hadramout,"Airstrike, Possible US drone strike",Possible,1,1,4,5,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM224,
YEM225,05/04/16,Zinjibar,Abyan,Airstrike,Possible,1,0,2,2,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM225,
YEM226,23/04/2016,Alemien,Mareb,US drone strike,Confirmed,1,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM226,
YEM227,25/04/2016,Zinjibar,Abyan,US drone strike,Confirmed,1,1,1,1,3,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM227,
YEM228,25/04/2016,Azzan,Shabwa,US drone strike,Confirmed,1,1,1,1,2,10,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM228,
YEM229,28/04/2016,Unknown,Shabwa,US drone strike,Confirmed,1,1,1,1,4,4,0,0,0,0,1,1,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM229,
YEM230,19/05/2016,Unknown,Shabwa,US drone strike,Confirmed,1,1,1,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM230,
YEM231,09/06/16,Unknown,Bayda,US drone strike,Confirmed,1,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM231,
YEM232,10/06/16,Unknown,Mareb,US drone strike,Confirmed,1,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM232,
YEM233,12/06/16,Haban,Shabwa,US drone strike,Confirmed,1,1,1,1,2,3,0,0,0,0,1,1,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM233,
YEM234,01/07/16,Gardan,Shabwa,US drone strike,Confirmed,1,1,1,1,3,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM234,
